Title,Old Price,Discounted Price,Discount %,Link,Promo Note
Flemings Chewy Muesli Bars Very Berry 180g,3.4,2.69,20.9,https://www.woolworths.co.nz/shop/product-details/flemings-chewy-muesli-bars-very-berry,
Rangitikei Free Range Chicken Tenderloins Buttermilk 400g,14,12.5,10.7,https://www.woolworths.co.nz/shop/product-details/rangitikei-free-range-chicken-tenderloins-buttermilk,
Sparkling Duet Soft Drink Raspberry 1.5L,2.49,1.33,46.6,https://www.woolworths.co.nz/shop/product-details/sparkling-duet-soft-drink-raspberry,
Anchor Uno Yoghurt Pouch Strawberry 100g,2.45,2,18.4,https://www.woolworths.co.nz/shop/product-details/anchor-uno-yoghurt-pouch-strawberry,
Wattie's Corn Cream Style 410g,3.5,2.9,17.1,https://www.woolworths.co.nz/shop/product-details/wattie-s-corn-cream-style,
Tegel Free Range Chicken Steaks Chargrill 650g,16,9.89,38.2,https://www.woolworths.co.nz/shop/product-details/tegel-free-range-chicken-steaks-chargrill,
V Sugar Free Energy Drink 500mL,4.24,2.49,41.3,https://www.woolworths.co.nz/shop/product-details/v-sugar-free-energy-drink,
Fresh'n Fruity Yoghurt Tub Mixed Berry 1kg,6.25,4.99,20.2,https://www.woolworths.co.nz/shop/product-details/fresh-n-fruity-yoghurt-tub-mixed-berry,
The Greater Good Pukekohe Fries Agria Straight Cut 1kg,5.2,4.5,13.5,https://www.woolworths.co.nz/shop/product-details/the-greater-good-pukekohe-fries-agria-straight-cut,SAVE $0.70
Earthsmart Tissues Plastic Free 224 Pack,3.15,1.79,43.2,https://www.woolworths.co.nz/shop/product-details/earthsmart-tissues-plastic-free,SAVE $1.36
Woolworths NZ Fresh Salmon Fillets 2 Pieces Tray Min Order 320g,62.99,56.69,10.0,https://www.woolworths.co.nz/shop/product-details/woolworths-nz-fresh-salmon-fillets-2-pieces-tray,
Griffin's Cookie Bear Biscuits Chockie Chip 200g,3.65,2.49,31.8,https://www.woolworths.co.nz/shop/product-details/griffin-s-cookie-bear-biscuits-chockie-chip,
Kleenex Extra Care Tissues Aloe Vera 95 Pack,3.69,3.3,10.6,https://www.woolworths.co.nz/shop/product-details/kleenex-extra-care-tissues-aloe-vera,SAVE $0.39
The Natural Chip Co Corn Snacks Veggie Straws Sour Cream Chive 100g,4.99,2.99,40.1,https://www.woolworths.co.nz/shop/product-details/the-natural-chip-co-corn-snacks-veggie-straws-sour-cream-chive,
McCain Pub Style Extra Crispy Fries Signature Seasoning 750g,6.4,5,21.9,https://www.woolworths.co.nz/shop/product-details/mccain-pub-style-extra-crispy-fries-signature-seasoning,
Big Ben Chilled Pie 6pk Steak & Cheese 840g,15.99,12.7,20.6,https://www.woolworths.co.nz/shop/product-details/big-ben-chilled-pie-6pk-steak-cheese,
V Vitalise Energy Drink 500mL,4.24,2.49,41.3,https://www.woolworths.co.nz/shop/product-details/v-vitalise-energy-drink,SAVE $1.75
Arnott's Shapes Crackers Multipack Cheese Lovers 375g 15 Pack,7.49,6,19.9,https://www.woolworths.co.nz/shop/product-details/arnott-s-shapes-crackers-multipack-cheese-lovers-375g,
Cadbury Chocolate Bar Moro Gold 50g,2.29,0.99,1,https://www.woolworths.co.nz/shop/product-details/cadbury-chocolate-bar-moro-gold,
Woolworths Baguette,4,3.5,12.5,https://www.woolworths.co.nz/shop/product-details/woolworths-baguette,SAVE $0.50
Heartland Chips Southern Salt 150g,3.09,2.5,19.1,https://www.woolworths.co.nz/shop/product-details/heartland-chips-southern-salt,SAVE $0.59
Copper Kettle Chips Honey Soy Chicken 150g,5.2,2.99,42.5,https://www.woolworths.co.nz/shop/product-details/copper-kettle-chips-honey-soy-chicken,
Ornelle Parmesan Cheese Grated 100g,5.99,5.35,10.7,https://www.woolworths.co.nz/shop/product-details/ornelle-parmesan-cheese-grated,SAVE $0.64
Henergy Eggs Cage Free Jumbo 10 Pack,8.95,7.15,20.1,https://www.woolworths.co.nz/shop/product-details/henergy-eggs-cage-free-jumbo,SAVE $1.80
Verkerks Lunchbox Salami Sticks Mild Dutch 100g,4.39,4.2,4.3,https://www.woolworths.co.nz/shop/product-details/verkerks-lunchbox-salami-sticks-mild-dutch,SAVE $0.19
Wattie's Wok Creations Frozen Stir Fry Vegetables Vietnamese Style 400g,4.49,3.5,22.0,https://www.woolworths.co.nz/shop/product-details/wattie-s-wok-creations-frozen-stir-fry-vegetables-vietnamese-style,
Nestle Bakers' Choice Bits Milk Chocolate 200g,7.69,5.49,28.6,https://www.woolworths.co.nz/shop/product-details/nestle-bakers-choice-bits-milk-chocolate,
Milo Breakfast Cereal 350g,7.29,5.29,27.4,https://www.woolworths.co.nz/shop/product-details/milo-breakfast-cereal,
Wattie's Pasta Sauce Garlic 420g,4.2,2.9,31.0,https://www.woolworths.co.nz/shop/product-details/wattie-s-pasta-sauce-garlic,SAVE $1.30
Act II Microwave Popcorn Butter Lovers 255g 3 Pack,5.29,4.7,11.2,https://www.woolworths.co.nz/shop/product-details/act-ii-microwave-popcorn-butter-lovers-255g,SAVE $0.59
Tilda Microwave Rice Sticky 250g,,3.5,,https://www.woolworths.co.nz/shop/product-details/tilda-microwave-rice-sticky,2 for $5.50
Lee Kum Kee Ready Sauce Honey & Soy Stir-Fry Chicken 120g,3.4,2.7,20.6,https://www.woolworths.co.nz/shop/product-details/lee-kum-kee-ready-sauce-honey-soy-stir-fry-chicken,SAVE $0.70
Arnott's Shapes Crackers BBQ Originals 175g,3.99,2.99,25.1,https://www.woolworths.co.nz/shop/product-details/arnott-s-shapes-crackers-bbq-originals,
Nutella & Go Chocolate Snack & Breadsticks 48g,2.89,2.5,13.5,https://www.woolworths.co.nz/shop/product-details/nutella-go-chocolate-snack-breadsticks,SAVE $0.39
Pieter's Salami Sliced Danish 100g,3.8,2.5,34.2,https://www.woolworths.co.nz/shop/product-details/pieter-s-salami-sliced-danish,SAVE $1.30
Keri Premium Orange Juice 1L,3.99,3.5,12.3,https://www.woolworths.co.nz/shop/product-details/keri-premium-orange-juice,
Better Eggs S.P.C.A Eggs Free Range Size 7 12 Pack,11.95,9.9,17.2,https://www.woolworths.co.nz/shop/product-details/better-eggs-s-p-c-a-eggs-free-range-size-7,SAVE $2.05
Pascall Lollies Party Pack 180g,2.95,1.99,32.5,https://www.woolworths.co.nz/shop/product-details/pascall-lollies-party-pack,SAVE $0.96
Craig's Fruit Jam Raspberry 660g,6.69,5.89,12.0,https://www.woolworths.co.nz/shop/product-details/craig-s-fruit-jam-raspberry,SAVE $0.80
Ajax Spray N Wipe Multipurpose Vanilla & Berries 475mL,5.29,3.99,24.6,https://www.woolworths.co.nz/shop/product-details/ajax-spray-n-wipe-multipurpose-vanilla-berries,SAVE $1.30
Whittaker's Chocolate Sharepack Creamy Milk Mini Slab 180g 12 Pack,8.49,7.49,11.8,https://www.woolworths.co.nz/shop/product-details/whittaker-s-chocolate-sharepack-creamy-milk-mini-slab-180g,SAVE $1.00
Old El Paso Taco Seasoning Spice Mix 30g,3,2.39,20.3,https://www.woolworths.co.nz/shop/product-details/old-el-paso-taco-seasoning-spice-mix,SAVE $0.61
Auntie Dai's Dumplings Chicken & Coriander 600g,12.6,6.29,1,https://www.woolworths.co.nz/shop/product-details/auntie-dai-s-dumplings-chicken-coriander,SAVE $6.31
Avalanche Drinking Chocolate 99% Sugar Free 200g,6.99,5.6,19.9,https://www.woolworths.co.nz/shop/product-details/avalanche-drinking-chocolate-99-sugar-free,SAVE $1.39
Oscar Wet Cat Food Favourites Selection Jelly 12x85g,14.2,9.89,30.4,https://www.woolworths.co.nz/shop/product-details/oscar-wet-cat-food-favourites-selection-jelly,SAVE $4.31
Leader Snack Bites Bacon Mac & Cheese 500g,11.99,8.49,29.2,https://www.woolworths.co.nz/shop/product-details/leader-snack-bites-bacon-mac-cheese,
Pieter's Salami Sliced Pepperoni 100g,3.8,2.5,34.2,https://www.woolworths.co.nz/shop/product-details/pieter-s-salami-sliced-pepperoni,SAVE $1.30
Griffin's Gingernuts Ginger Biscuits Original 250g,4.19,2.99,28.6,https://www.woolworths.co.nz/shop/product-details/griffin-s-gingernuts-ginger-biscuits-original,
Charlies Fruit Juice Orange 1L,6.49,5.99,7.7,https://www.woolworths.co.nz/shop/product-details/charlies-fruit-juice-orange,SAVE $0.50
Fresh'n Fruity Yoghurt Tub Strawberry 1kg,6.25,4.99,20.2,https://www.woolworths.co.nz/shop/product-details/fresh-n-fruity-yoghurt-tub-strawberry,
Verkerks Salami Stick Mild 150g,5.7,4.6,19.3,https://www.woolworths.co.nz/shop/product-details/verkerks-salami-stick-mild,SAVE $1.10
Whittaker's Chocolate Berry Biscuit 250g,8.49,7.49,11.8,https://www.woolworths.co.nz/shop/product-details/whittaker-s-chocolate-berry-biscuit,SAVE $1.00
Heartland Chips Maple Bacon 150g,3.09,2.5,19.1,https://www.woolworths.co.nz/shop/product-details/heartland-chips-maple-bacon,SAVE $0.59
Sealord Tuna Chunky Style In Spring Water 185g,4.5,3.49,22.4,https://www.woolworths.co.nz/shop/product-details/sealord-tuna-chunky-style-in-spring-water,
"Only Organic Stage 3 Baby Food Banana, Raspberry & Vanilla 120g",2.29,1.8,21.4,https://www.woolworths.co.nz/shop/product-details/only-organic-stage-3-baby-food-banana-raspberry-vanilla,SAVE $0.49
Woolworths NZ Corned Beef Silverside Grass Fed Min Order 1.4kg,19.99,15.99,20.0,https://www.woolworths.co.nz/shop/product-details/woolworths-nz-corned-beef-silverside-grass-fed,
Woolworths Muffins Mixed 6 Pack,6.8,6.1,10.3,https://www.woolworths.co.nz/shop/product-details/woolworths-muffins-mixed,SAVE $0.70
Pascall Lollies Fruit Bursts 170g,2.95,1.99,32.5,https://www.woolworths.co.nz/shop/product-details/pascall-lollies-fruit-bursts,SAVE $0.96
Cadbury Drinking Chocolate 450g,8.89,8,10.0,https://www.woolworths.co.nz/shop/product-details/cadbury-drinking-chocolate,SAVE $0.89
Hellers Sausages Precooked Chinese Honey 1kg pack,,13.49,,https://www.woolworths.co.nz/shop/product-details/hellers-sausages-precooked-chinese-honey,2 for $20.00
Leggo's Pasta Bake Pasta Sauce Sundried Tomato & Garlic 500g,5.29,3.99,24.6,https://www.woolworths.co.nz/shop/product-details/leggo-s-pasta-bake-pasta-sauce-sundried-tomato-garlic,
Eta Uppercuts Deli Cut Chips Sea Salt & Balsamic Vinegar 140g,3.79,2.5,34.0,https://www.woolworths.co.nz/shop/product-details/eta-uppercuts-deli-cut-chips-sea-salt-balsamic-vinegar,SAVE $1.29
Arnott's Cruskits Crispbread Low Fat 250g,6.69,5.8,13.3,https://www.woolworths.co.nz/shop/product-details/arnott-s-cruskits-crispbread-low-fat,SAVE $0.89
Whittaker's Chocolate White 250g,8.49,7.49,11.8,https://www.woolworths.co.nz/shop/product-details/whittaker-s-chocolate-white,SAVE $1.00
Moccona Coffee Sachets Caramel Latte 274g,14.8,11,25.7,https://www.woolworths.co.nz/shop/product-details/moccona-coffee-sachets-caramel-latte,SAVE $3.80
Big Black Sacks Rubbish Bags Drawstring Extra Large 5 Pack,3.29,2.5,24.0,https://www.woolworths.co.nz/shop/product-details/big-black-sacks-rubbish-bags-drawstring-extra-large,SAVE $0.79
Up&Go Liquid Breakfast Chocolate Fridge pk 250mL,19.99,17.49,12.5,https://www.woolworths.co.nz/shop/product-details/up-go-liquid-breakfast-chocolate-fridge-pk,
Whiskas Wet Cat Food Mixed Favourites In Jelly 18x85g,17.2,14.3,16.9,https://www.woolworths.co.nz/shop/product-details/whiskas-wet-cat-food-mixed-favourites-in-jelly,SAVE $2.90
Lisa's Hummus Pumpkin & Kumara 200g,5.19,3.99,23.1,https://www.woolworths.co.nz/shop/product-details/lisa-s-hummus-pumpkin-kumara,
Pic's Smoochy Peanut Butter 380g,7.79,3.89,1,https://www.woolworths.co.nz/shop/product-details/pic-s-smoochy-peanut-butter,SAVE $3.90
Tip Top Popsicle Ice Blocks Lemonade Minis 20 Pack,8.3,7,15.7,https://www.woolworths.co.nz/shop/product-details/tip-top-popsicle-ice-blocks-lemonade-minis,SAVE $1.30
San Remo Pasta Spaghetti No. 5 500g,,3.29,,https://www.woolworths.co.nz/shop/product-details/san-remo-pasta-spaghetti-no-5,2 for $5.00
Edmonds Shaker Pancake Mix Batter 325g,4.69,3.99,14.9,https://www.woolworths.co.nz/shop/product-details/edmonds-shaker-pancake-mix-batter,SAVE $0.70
Pascall Lollies Jet Planes 180g,2.95,1.99,32.5,https://www.woolworths.co.nz/shop/product-details/pascall-lollies-jet-planes,SAVE $0.96
The Collective Sour Cream 250g,4.8,3.8,20.8,https://www.woolworths.co.nz/shop/product-details/the-collective-sour-cream,SAVE $1.00
Silver Fern Farms Lamb Rumps 400g,20.99,18.99,9.5,https://www.woolworths.co.nz/shop/product-details/silver-fern-farms-lamb-rumps,SAVE $2.00
Oreo Creme Filled Biscuits Wafer Sticks Milk Chocolate 10 Pack,4.95,4,19.2,https://www.woolworths.co.nz/shop/product-details/oreo-creme-filled-biscuits-wafer-sticks-milk-chocolate,SAVE $0.95
Flemings Chewy Muesli Bars Berry Smoothie 180g,3.4,2.69,20.9,https://www.woolworths.co.nz/shop/product-details/flemings-chewy-muesli-bars-berry-smoothie,
Kettle Chip Company Chips Honey Soy Chicken 5 Pack,4.19,3.5,16.5,https://www.woolworths.co.nz/shop/product-details/kettle-chip-company-chips-honey-soy-chicken,
Chobani Flip Greek Yoghurt Triple Choc Brownie 140g,3.9,2.99,23.3,https://www.woolworths.co.nz/shop/product-details/chobani-flip-greek-yoghurt-triple-choc-brownie,
Maggi 2-Minute Instant Noodles Chicken 864g,9.3,8,14.0,https://www.woolworths.co.nz/shop/product-details/maggi-2-minute-instant-noodles-chicken,
Coca-Cola Soft Drink Zero Sugar 8 Pack,13.99,8.99,35.7,https://www.woolworths.co.nz/shop/product-details/coca-cola-soft-drink-zero-sugar,
Sprite Lemonade Lemon Lime 2.25L,5.39,3.79,29.7,https://www.woolworths.co.nz/shop/product-details/sprite-lemonade-lemon-lime,
Chobani Kids Yoghurt Pouch Strawberry 100g,2.4,2,16.7,https://www.woolworths.co.nz/shop/product-details/chobani-kids-yoghurt-pouch-strawberry,
Arnott's Biscuits Iced Animals 200g,4.59,4,12.9,https://www.woolworths.co.nz/shop/product-details/arnott-s-biscuits-iced-animals,
Fancy Feast Gravy Lovers Wet Cat Food Grilled Chicken In Gravy 85g,1.85,1.35,27.0,https://www.woolworths.co.nz/shop/product-details/fancy-feast-gravy-lovers-wet-cat-food-grilled-chicken-in-gravy,SAVE $0.50
Colgate Cavity Protection Toothpaste Great Regular Flavour 120g,3.99,3.29,17.5,https://www.woolworths.co.nz/shop/product-details/colgate-cavity-protection-toothpaste-great-regular-flavour,SAVE $0.70
Sunrice Microwave Brown Rice & Quinoa 2 x 125g pack,3.09,2.7,12.6,https://www.woolworths.co.nz/shop/product-details/sunrice-microwave-brown-rice-quinoa,
Rangitikei Free Range Karaage Chicken Chunks 360g,14,12.5,10.7,https://www.woolworths.co.nz/shop/product-details/rangitikei-free-range-karaage-chicken-chunks,
Anchor Uno Yoghurt Pouch Mixed Berry Smooth 100g,2.45,2,18.4,https://www.woolworths.co.nz/shop/product-details/anchor-uno-yoghurt-pouch-mixed-berry-smooth,
Flemings Snacker Muesli Bars Caramel Choc 162g,3.79,2.69,29.0,https://www.woolworths.co.nz/shop/product-details/flemings-snacker-muesli-bars-caramel-choc,
Pascall Lollies Explorers 150g,2.95,1.99,32.5,https://www.woolworths.co.nz/shop/product-details/pascall-lollies-explorers,SAVE $0.96
Only Organic Stage 3 Baby Food Mango Yoghurt Brekkie 120g,2.29,1.8,21.4,https://www.woolworths.co.nz/shop/product-details/only-organic-stage-3-baby-food-mango-yoghurt-brekkie,SAVE $0.49
Greater Hummus Roasted Garlic 500g,8.49,5.9,30.5,https://www.woolworths.co.nz/shop/product-details/greater-hummus-roasted-garlic,
Romano's Pizza Meatlovers With BBQ Sauce 400g,5,4.4,12.0,https://www.woolworths.co.nz/shop/product-details/romano-s-pizza-meatlovers-with-bbq-sauce,SAVE $0.60
Whittaker's Chocolate Hazella 250g,8.49,7.49,11.8,https://www.woolworths.co.nz/shop/product-details/whittaker-s-chocolate-hazella,SAVE $1.00
Copper Kettle Chips BBQ 150g,5.2,2.99,42.5,https://www.woolworths.co.nz/shop/product-details/copper-kettle-chips-bbq,
Vegeta Chicken Stock Cubes 6x10g,2.99,1.99,33.4,https://www.woolworths.co.nz/shop/product-details/vegeta-chicken-stock-cubes,SAVE $1.00
Chelsea Maple Syrup Flavoured 530g,4.5,3.9,13.3,https://www.woolworths.co.nz/shop/product-details/chelsea-maple-syrup-flavoured,SAVE $0.60
The Laughing Cow Cheese Snack Triangles 128g,5.89,4.99,15.3,https://www.woolworths.co.nz/shop/product-details/the-laughing-cow-cheese-snack-triangles,SAVE $0.90
Cadbury Chocolate Bar Caramilk 45g,2.29,0.99,1,https://www.woolworths.co.nz/shop/product-details/cadbury-chocolate-bar-caramilk,SAVE $1.30
Beehive Shoulder Bacon 200g,5.5,4,27.3,https://www.woolworths.co.nz/shop/product-details/beehive-shoulder-bacon,SAVE $1.50
Macy and Tailor Pretzels Sea Salt 180g,4.7,3.95,16.0,https://www.woolworths.co.nz/shop/product-details/macy-and-tailor-pretzels-sea-salt,
Arataki Liquid Honey Squeeze Me 500g,12.39,10.49,15.3,https://www.woolworths.co.nz/shop/product-details/arataki-liquid-honey-squeeze-me,SAVE $1.90
Alpine Grated Cheese Pizza Blend 750g,15.99,12.69,20.6,https://www.woolworths.co.nz/shop/product-details/alpine-grated-cheese-pizza-blend,SAVE $3.30
Birds Eye Golden Crunch Fries Straight Cut 750g,5.99,3.99,33.4,https://www.woolworths.co.nz/shop/product-details/birds-eye-golden-crunch-fries-straight-cut,
Flemings Chewy Muesli Bars Apricot Chocolate Chip 180g,3.4,2.69,20.9,https://www.woolworths.co.nz/shop/product-details/flemings-chewy-muesli-bars-apricot-chocolate-chip,
Griffin's Toffee Pops Chocolate Biscuits Caramelised White Chocolate 200g,5.99,3.99,33.4,https://www.woolworths.co.nz/shop/product-details/griffin-s-toffee-pops-chocolate-biscuits-caramelised-white-chocolate,
Anchor Uno Yoghurt Pouch Smooth Vanilla Squeezie 100g,2.45,2,18.4,https://www.woolworths.co.nz/shop/product-details/anchor-uno-yoghurt-pouch-smooth-vanilla-squeezie,
Cadbury Chocolate Bar Caramello 46g,2.29,0.99,1,https://www.woolworths.co.nz/shop/product-details/cadbury-chocolate-bar-caramello,SAVE $1.30
Jif Cream Surface Cleaner Lemon 500mL,5.1,3.8,25.5,https://www.woolworths.co.nz/shop/product-details/jif-cream-surface-cleaner-lemon,SAVE $1.30
Yarrows Bread Rolls Buffet Par Baked Plain White 6 Pack,4,3.6,10.0,https://www.woolworths.co.nz/shop/product-details/yarrows-bread-rolls-buffet-par-baked-plain-white,SAVE $0.40
The Collective Greek Probiotic Yoghurt Tub Unsweetened 400g,5.75,4.95,13.9,https://www.woolworths.co.nz/shop/product-details/the-collective-greek-probiotic-yoghurt-tub-unsweetened,SAVE $0.80
Nutella B-Ready Biscuit Bar 132g 6 Pack,5.99,4.99,16.7,https://www.woolworths.co.nz/shop/product-details/nutella-b-ready-biscuit-bar-132g,SAVE $1.00
Moccona Instant Coffee Indulgence Refill,14.99,12.99,13.3,https://www.woolworths.co.nz/shop/product-details/moccona-instant-coffee-indulgence-refill,SAVE $2.00
Sunlight Dishwash Liquid Lemon 500mL,3.09,1.79,42.1,https://www.woolworths.co.nz/shop/product-details/sunlight-dishwash-liquid-lemon,SAVE $1.30
Nescafe Coffee Sachets Caramel Latte 10 Pack,7.92,4.69,40.8,https://www.woolworths.co.nz/shop/product-details/nescafe-coffee-sachets-caramel-latte,
Keri Fruit Juice Orange With Apple Base 1L,3.99,2.5,37.3,https://www.woolworths.co.nz/shop/product-details/keri-fruit-juice-orange-with-apple-base,
Oreo Mini Creme Filled Biscuits Variety Pack 367g,7.95,6.95,12.6,https://www.woolworths.co.nz/shop/product-details/oreo-mini-creme-filled-biscuits-variety-pack,SAVE $1.00
Coca-Cola No Sugar Soft Drink Vanilla 8 Pack,13.99,8.99,35.7,https://www.woolworths.co.nz/shop/product-details/coca-cola-no-sugar-soft-drink-vanilla,
Waitoa Chicken Burgers Homestyle Free Range 650g,16.5,14.5,12.1,https://www.woolworths.co.nz/shop/product-details/waitoa-chicken-burgers-homestyle-free-range,
Vegeta Beef Stock Cubes 6x10g,2.99,1.99,33.4,https://www.woolworths.co.nz/shop/product-details/vegeta-beef-stock-cubes,SAVE $1.00
M&M's Chocolate Crispy 145g,7.59,4.5,40.7,https://www.woolworths.co.nz/shop/product-details/m-m-s-chocolate-crispy,SAVE $3.09
Bluebird Poppa Jacks Wheat Snacks Original 100g,4.19,3.5,16.5,https://www.woolworths.co.nz/shop/product-details/bluebird-poppa-jacks-wheat-snacks-original,
Marmite Yeast Spread 500g,8.99,7.29,18.9,https://www.woolworths.co.nz/shop/product-details/marmite-yeast-spread,SAVE $1.70
Wattie's Beetroot Baby 450g,3.7,2.9,21.6,https://www.woolworths.co.nz/shop/product-details/wattie-s-beetroot-baby,
Cadbury Chocolate Sharepack Crunchie 180g,7,5.5,21.4,https://www.woolworths.co.nz/shop/product-details/cadbury-chocolate-sharepack-crunchie,SAVE $1.50
Arnott's Tiny Teddy Plain Biscuits Variety Pak 375g 15 Pack,7.49,6,19.9,https://www.woolworths.co.nz/shop/product-details/arnott-s-tiny-teddy-plain-biscuits-variety-pak-375g,
Anchor Uno Yoghurt Pouch Peach & Mango 100g,2.45,2,18.4,https://www.woolworths.co.nz/shop/product-details/anchor-uno-yoghurt-pouch-peach-mango,
Red Seal Kids Toothpaste Berry Bublicious 70g,3.99,2.99,25.1,https://www.woolworths.co.nz/shop/product-details/red-seal-kids-toothpaste-berry-bublicious,SAVE $1.00
Glad Snaplock Plastic Bags Sandwich 170X180mm 25 Pack,3.49,2.8,19.8,https://www.woolworths.co.nz/shop/product-details/glad-snaplock-plastic-bags-sandwich-170x180mm,SAVE $0.69
Anchor Sour Cream Lite 250g,4.69,3.99,14.9,https://www.woolworths.co.nz/shop/product-details/anchor-sour-cream-lite,SAVE $0.70
Indomie Instant Noodles Cup BBQ Chicken Mi Goreng 75g,2.59,2.2,15.1,https://www.woolworths.co.nz/shop/product-details/indomie-instant-noodles-cup-bbq-chicken-mi-goreng,SAVE $0.39
Ajax Spray N Wipe Bathroom Cleaner Antibacterial Spray 500mL,5.29,3.99,24.6,https://www.woolworths.co.nz/shop/product-details/ajax-spray-n-wipe-bathroom-cleaner-antibacterial-spray,SAVE $1.30
Fancy Feast Classic Wet Cat Food Pate Chicken & Liver Feast 85g,1.85,1.35,27.0,https://www.woolworths.co.nz/shop/product-details/fancy-feast-classic-wet-cat-food-pate-chicken-liver-feast,SAVE $0.50
Griffin's Malt Biscuits 250g,4.19,2.99,28.6,https://www.woolworths.co.nz/shop/product-details/griffin-s-malt-biscuits,
The Natural Chip Co Corn Snacks Veggie Straws Salted 65g 5 Pack,4.19,3.5,16.5,https://www.woolworths.co.nz/shop/product-details/the-natural-chip-co-corn-snacks-veggie-straws-salted-65g,
San Remo Pasta Large Spirals No. 53 500g,,3.29,,https://www.woolworths.co.nz/shop/product-details/san-remo-pasta-large-spirals-no-53,2 for $5.00
V Blue Energy Drink Sugar Free 500mL,4.24,2.49,41.3,https://www.woolworths.co.nz/shop/product-details/v-blue-energy-drink-sugar-free,SAVE $1.75
Maggi 2-Minute Instant Noodles Beef Cup 58g,2.19,1.95,11.0,https://www.woolworths.co.nz/shop/product-details/maggi-2-minute-instant-noodles-beef-cup,
Auntie Dai's Dumplings Pork & Coriander 600g,12.6,6.29,1,https://www.woolworths.co.nz/shop/product-details/auntie-dai-s-dumplings-pork-coriander,SAVE $6.31
Olivani Olive Oil Pure 1L,23,17.99,21.8,https://www.woolworths.co.nz/shop/product-details/olivani-olive-oil-pure,SAVE $5.01
First Light NZ Beef Rump Steak Grass Fed Wagyu,14.9,13.4,10.1,https://www.woolworths.co.nz/shop/product-details/first-light-nz-beef-rump-steak-grass-fed-wagyu,SAVE $1.50
Meadow Fresh Yoghurt Disney Strawberry Pouch 70g,15.45,13.9,10.0,https://www.woolworths.co.nz/shop/product-details/meadow-fresh-yoghurt-disney-strawberry-pouch,
Uncle Tobys Oats Quick Sachets Classic Variety 350g,6.39,5,21.8,https://www.woolworths.co.nz/shop/product-details/uncle-tobys-oats-quick-sachets-classic-variety,
Beehive Kransky Cheese 800g,12.79,12.1,5.4,https://www.woolworths.co.nz/shop/product-details/beehive-kransky-cheese,SAVE $0.69
Sealord Fish Fingers Classic Crumbed Hoki 400g 15 Pack,7.99,7,12.4,https://www.woolworths.co.nz/shop/product-details/sealord-fish-fingers-classic-crumbed-hoki-400g,
Cocobella Coconut Water Chocolate 1L,5.49,4.3,21.7,https://www.woolworths.co.nz/shop/product-details/cocobella-coconut-water-chocolate,SAVE $1.19
Maggi Instant Gravy Mix Roast Chicken 24g,1.29,1,22.5,https://www.woolworths.co.nz/shop/product-details/maggi-instant-gravy-mix-roast-chicken,
Chobani Flip Greek Yoghurt Cookies & Cream Crunch 140g,3.9,2.99,23.3,https://www.woolworths.co.nz/shop/product-details/chobani-flip-greek-yoghurt-cookies-cream-crunch,
Cadbury Chocolate Bar Dairy Milk 45g,2.29,0.99,1,https://www.woolworths.co.nz/shop/product-details/cadbury-chocolate-bar-dairy-milk,
Wattie's Beetroot Sliced 450g,3.7,2.9,21.6,https://www.woolworths.co.nz/shop/product-details/wattie-s-beetroot-sliced,
Mexicano Corn Chips Thai Sweet Chilli 170g,3.4,2.9,14.7,https://www.woolworths.co.nz/shop/product-details/mexicano-corn-chips-thai-sweet-chilli,
Ecostore Dishwash Liquid Lemon 500mL,4.79,3.5,26.9,https://www.woolworths.co.nz/shop/product-details/ecostore-dishwash-liquid-lemon,SAVE $1.29
Coca-Cola Soft Drink Zero Sugar 15 Pack,17.99,15,16.6,https://www.woolworths.co.nz/shop/product-details/coca-cola-soft-drink-zero-sugar,
Mother Earth Mixed Nuts Deluxe Roasted Lightly Salted 400g,13.99,11.9,14.9,https://www.woolworths.co.nz/shop/product-details/mother-earth-mixed-nuts-deluxe-roasted-lightly-salted,
Fantastic Delites Rice Snacks Sea Salt & Balsamic Vinegar 100g,2.39,1.7,28.9,https://www.woolworths.co.nz/shop/product-details/fantastic-delites-rice-snacks-sea-salt-balsamic-vinegar,SAVE $0.69
"Tip Top Popsicle Ice Blocks Lime, Orange & Raspberry Minis 20 Pack",8.3,7,15.7,https://www.woolworths.co.nz/shop/product-details/tip-top-popsicle-ice-blocks-lime-orange-raspberry-minis,SAVE $1.30
Copper Kettle Chips Salt & Vinegar 150g,5.2,2.99,42.5,https://www.woolworths.co.nz/shop/product-details/copper-kettle-chips-salt-vinegar,
Bostock Brothers Organic Sausages Chicken & Tarragon 290g,12.2,10.6,13.1,https://www.woolworths.co.nz/shop/product-details/bostock-brothers-organic-sausages-chicken-tarragon,SAVE $1.60
Sparkling Duet Lemonade 1.5L,2.49,1.33,46.6,https://www.woolworths.co.nz/shop/product-details/sparkling-duet-lemonade,
Craig's Fruit Jam Strawberry 660g,6.69,5.89,12.0,https://www.woolworths.co.nz/shop/product-details/craig-s-fruit-jam-strawberry,SAVE $0.80
Woolworths Cheese Edam 500g,9.12,8.5,6.8,https://www.woolworths.co.nz/shop/product-details/woolworths-cheese-edam,
Pringles Chips Sour Cream & Onion 53g,3.39,1.69,1,https://www.woolworths.co.nz/shop/product-details/pringles-chips-sour-cream-onion,
McCain Frozen Mixed Vegetables Winter Mix 1kg,6.6,5.3,19.7,https://www.woolworths.co.nz/shop/product-details/mccain-frozen-mixed-vegetables-winter-mix,
